Name                                                 Type                Forward_MACs    FPercent    Memory      MPercent    Params    PPercent    InShape      OutShape
/segment/S5_5/conv_gap/relu/Relu                     Relu                64              0.00%       256         0.00%       0         0.00%       1x64x1x1     1x64x1x1
/segment/S5_5/Add                                    Add                 960             0.00%       3,840       0.04%       0         0.00%       1x64x1x1     1x64x5x3
/segment/S5_5/conv_last/conv/Conv                    Conv                553,920         0.43%       151,552     1.38%       36,928    4.21%       1x64x5x3     1x64x5x3
/segment/S5_5/conv_last/relu/Relu                    Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/bga/left1/left1.0/Conv                              Conv                153,600         0.12%       64,000      0.58%       640       0.07%       1x64x20x12   1x64x20x12
/bga/left1/left1.2/Conv                              Conv                983,040         0.76%       77,824      0.71%       4,096     0.47%       1x64x20x12   1x64x20x12
/bga/left2/left2.0/Conv                              Conv                2,215,680       1.70%       163,072     1.49%       36,928    4.21%       1x64x20x12   1x64x10x6
/bga/left2/left2.2/AveragePool                       AveragePool         8,640           0.01%       3,840       0.04%       0         0.00%       1x64x10x6    1x64x5x3
/bga/right1/right1.0/Conv                            Conv                553,920         0.43%       151,552     1.38%       36,928    4.21%       1x64x5x3     1x64x5x3
/bga/right2/right2.0/Conv                            Conv                9,600           0.01%       6,400       0.06%       640       0.07%       1x64x5x3     1x64x5x3
/bga/right2/right2.2/Conv                            Conv                61,440          0.05%       20,224      0.18%       4,096     0.47%       1x64x5x3     1x64x5x3
/bga/up1/Constant                                    Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/bga/up1/Constant_1                                  Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/bga/up1/Resize                                      Resize              0               0.00%       61,440      0.56%       0         0.00%       1x64x5x3     1x64x20x12
/bga/Sigmoid                                         Sigmoid             491,520         0.38%       61,440      0.56%       0         0.00%       1x64x20x12   1x64x20x12
/bga/Mul                                             Mul                 15,360          0.01%       61,440      0.56%       0         0.00%       1x64x20x12   1x64x20x12
/bga/Sigmoid_1                                       Sigmoid             30,720          0.02%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
